La Gara;	Racename
10.000000;	Checkpoint size
0.000000;	Checkpoint type
12.000000;	number of cps
0.000000;	worldid
5.000000;	max players
1.000000;	needed vehicle
0.000000;	unused 1
0.000000;	unused 2
0.000000;	unused 3
0.000000;	unused 4
-304.388488,1524.329345,74.690940;	Race Spawn
-300.981933,1398.329467,71.657241;
-356.009338,1464.758911,63.364444;
-321.873443,1320.944580,52.717941;
-436.791351,1444.082031,33.016906;
-405.715820,1734.322631,40.782752;
-399.098083,1910.011718,57.392845;
-442.455749,1758.266479,71.383583;
-466.165069,1968.368896,81.763793;
-381.754364,2072.556884,60.171264;
-882.846435,1968.702636,59.501171;
-1161.475585,1795.814941,39.383296;
-847.524291,1578.563598,24.883949;
